Level,Context,Sub-Context,Person,Text,Spanish
,,,B,"Oh, you're close by. Just cross the street, my house is number 12. It has a red door. ",
,,,A,"Oh yes, I see it. I will be there soon. Goodbye!",
,,,B,See you soon. Goodbye!,
A2,Health matters,Sick relative,A,"Hey, what are your plans for Saturday night?",
,,,B,"I'm in Italy, didn't you know?",
,,,A,"Oh no, I didn't know that. When will you return?",
,,,B,"I meant to stay for 2 weeks but my grandma is unwell, so I am staying another week.",indispuesto
,,,A,I hope she gets well soon.,
,,,B,"Thank you, it seems as if she will.",
,,,A,"Let me know if you want to talk about it, okay. ",
,,,B,"I will, thank you for offering. Take care, speak soon.",
,,,A,Take care.,
A2,Making invitations,Charity,A,"Good morning sir, can I speak with you for a moment?",
,,,B,"No, I am busy.",
,,,A,It will just take a second.,
 ,,,B,I am going to work.,
,,,A,I just wanted to speak to you about our charitable organisation.,organización caritativa
,,,B,I am not interested.,
,,,A,So you don't give to charity?,no des a la caridad
,,,B,Stop following me.,
,,,A,"But sir, if you give me your email then you can choose to sign up or not in your own time.",elige / registrarte
,,,B,Leave me alone.,Déjame en paz
A2,Making invitations,Lunch,A,Do you want to go for lunch at the weekend?,ve por el almuerzo
,,,B,"I'm afraid not, I work on weekends.",Me temo que no
,,,A,Which days do you have off next week?,días tienes libre
,,,B,I am free on Tuesday and Wednesday,gratis
,,,A,I go to University on those days unfortunately.,
,,,B,"That's a shame, what about on Monday morning?",es una pena
,,,A,I am also free on Monday morning. How about we meet at 10 at the cafe near your house.,
,,,B,"Perfect, see you on Monday.",
,,,A,See you then!,
B2,Going shopping and asking for prices,Phone purchase,A,"Hi, can I buy this phone?",
,,,B,Did you make a reservation?,
,,,A,"No, I didn't.",
,,,B,"You need a reservation, I can make one for you but it will be in about 30 minutes. Is that okay?",
,,,A,"No, that's way too long to wait to buy a phone.",
,,,B,"Well, unfortunately, we are extremely busy because of the launch of our newest phone, and two models have sold out already today. So if you can wait a little while we can get you a slot. Is that okay?",lanzar / modelos / ranura
,,,A,"Fine, I will make the reservation. But is there anything you can offer me in return for my having to wait?",
,,,B,"I'm afraid not, we have to do reservations today because we are so busy. Next time you should book online to avoid the wait.",
A2,Ordering food and drink,Delayed drinks order,A,"Excuse me, where is my coffee. I've been waiting over 20 minutes.",
,,,B,"We're really busy, they are making the drinks as fast as they can, can you wait a little longer?",
,,,A,"This is unacceptable, I am very busy this morning. Some people who ordered after me have already got their drinks.",
,,,B,"I'm sorry, I will check how long it will be. What did you order?",
,,,A,"Thank you, I ordered a mocha.",
,,,B,"Sorry there was a mix up, I will make it for you right away.",mezclar
,,,A,Thank you very much.,
A1,Exchanging personal information,Instagram,A,"It's getting late, I think I'm gonna head off.",distraer
,,,B,"That's a shame, it was nice getting to know you.",
,,,A,I know. But I have to work. ,
,,,B,I understand. I work too.,
,,,A,"Well, bye.",
,,,B,"Oh, can I get your number?",
,,,A,"Sorry, I don't give out my number.",repartir
,,,B,What about your instagram?,
,,,A,"Sure, I suppose.",Supongo
,,,B,What's your username?,nombre de usuario
A2,Socialising in the country,Family size,A,Who were you chatting to in the cafe?,
,,,B,"Oh, that's Suzanna.",
,,,A,How do you know each other?,
,,,B,She's my sister.,
,,,A,Really? But you don't look alike.,
,,,B,"Yes, she's my half sister actually. Do you have any siblings?",media hermana
,,,A,"No, I'm an only child.",Hija única(feminine) | Hijo único(masculine)
,,,B,You are lucky!  I have five sisters - it is very noisy at home.,ruidosa(feminine) | ruidoso(masculine)
,,,A,I think you are lucky. How nice to have a big family.,
,,,B,"Yes, we are. And we also have 3 dogs and 2 cats. How about you?",
,,,A,"No, my mum hates animals.",
,,,B,Must have been very quiet at home then!,
,,,A,"Yes, it was very quiet. But I had many good friends. ",
A2,Ordering food and drink,QR Code,A,"Good morning, can I get a large almond milk latte please?",almendra
,,,B,"Sorry about this but, we are all out of almond milk. We do have oat milk or soya milk though. ",avena / soja
,,,A,In that case I'll just have a peppermint tea.,menta
,,,B,"Sorry about that, can I get you anything else?",
,,,A,"No, thank you.",
,,,B,That'll be 2.40 please.,
,,,A,I have a subscription with you.,suscripción
,,,B,Can you scan the QR code for me?,escanear
,,,A,No problem. ,
,,,B,Thank you. Have a nice day.,
,,,A,You too!,
A2,Making Appointments,Doctor,A,"Good Morning, I'd like to make an appointment with Dr Tiberal.",
,,,B,What's your date of birth?,
,,,A,27th of June 1989,
,,,B,And your name?,
,,,A,It's Jane Brown.,
,,,B,"Thank you. So, Ms Brown, what's the problem?",
,,,A,I have had an earache for the last two days and I would like to see the doctor.,dolor de oidos
,,,B,"Okay, we have nothing today. However, we have appointments tomorrow at 10:00 or 14:45.",
,,,A,Can I have 14:45 please.,
,,,B,"Of course, and I can also see from your record that you need a flu jab. Can I book you in for that too?",vacuna de la gripe
,,,A,"Actually, I would prefer to do it another time.",
,,,B,"That's fine, but please book for your flu jab soon.",
,,,A,"I will, goodbye.",
,,,B,Goodbye.,
B1,University life,Study plans,A,How are you?,
,,,B,"I'm doing okay, you?",
,,,A,I'm stressed.,
,,,B,Why are you stressed?,
,,,A,I have two assignments and they are both due next Monday. It's just too much!,"asignaciones/
vencer"
,,,B,"Well, I have the same assignments, why don't we meet in the library and study together?",
,,,A,"It's hard for me to study with other people, because I get distracted.",distraída(feminine) | distraído(masculine)
,,,B,"Well, I don't get distracted. Look, we can talk about the structure and share some ideas. ",estructura
,,,A,That would be really helpful. But I know that I can't sit in the library for hours. ,
,,,B,You're not meant to. We will take a short break every couple of hours - that's the way to maintain focus!,mantener
,,,A,"That would be really helpful, thank you.",
A2,Making travel arrangements,Expired Ticket,A,"Good morning, tickets please. ",
,,,B,"Good morning, here you go. ",
,,,A,Your ticket isn't valid for this part of the journey. You can pay the rest by card now. ,válida(feminine) | válido(masculine)
,,,B,But the lady at the ticket office told me it will be okay for the whole journey. ,
,,,A,I'm sorry you must have misunderstood. Your ticket expired 3 stops ago so you have to pay up or I'm going to have to ask you to get off at the next station.,incomprendida(feminine) | ncomprendido(masculine)
,,,B,Fine. How much is the outstanding amount?,pendiente
,,,A,£3.20 please. ,
,,,B,Here's my card.,
,,,A,Thank you. Have a good day. ,
,,,B,You too. ,
B1,Making travel arrangements,E.ticket,A,"Good morning, tickets please. ",
,,,B,Good morning. Oh no..I think I forgot my ticket. Can you wait a moment?,
,,,A,Would you like to buy one now? ,
,,,B,"No, I'm sure I have it somewhere just give me a minute. I printed off a copy yesterday evening. ",
,,,A,"if you can't find the paper copy, the ticket is also available on your phone sir. ",
,,,B,"You're right, it's right here. What do I do now?  ",
,,,A,"Just show me the QR code. Thank you. Now, I see you have a rail card. Please may I see it? ",Código QR / tarjeta de tren
,,,B,Here it is. I know that this is stored on my phone. ,
,,,A,Thank you that is all done. Have a nice day!,
,,,B,Have a good day!,
A2,Exchaning personal information,Age restricted,A,"Hi there, I have a package for Ms. Anna Smith?",
,,,B,"Hi, that's me, thanks. ",
,,,A,Ms. Smith can I see some ID please as the item you have ordered is age restricted. ,edad restringida
,,,B,Oh? I don't remember ordering anything dangerous. ,
,,,A,I believe the package contains a set of kitchen knives. ,
,,,B,"Oh yes of course! Sorry, I will get my ID right away. ",
,,,A,Thank you. ,
,,,B,Here you go. ,
,,,A,Can you confirm your birthday for me?,
,,,B,17th of May 1989. ,
,,,A,"Thank you, here's your item. Have a good day!",
,,,B,"Thank you, have a good day. ",
A1,Exchaning personal information,neighbour's parcel,A,"Hello there, how can I help?",
,,,B,"Hi I have a parcel for your neighbour, but they're not home, can I leave it with you?",terreno / vencia (feminine) | vecino (masculine)
,,,A,"Sure, no problem. Which neighbour?",
,,,B,"Number 17, down the corridor, on the left. Would you mind signing here?",corredora(feminine) | corredor(masculine) / firma
,,,A,All done.,
,,,B,"And just to confirm, what is your name?",
,,,A,Sarah Smith. And that's S-A-R-A-H with a H at the end. ,
,,,B,Thanks Sarah. Have a good day!,
,,,A,"You too, bye. ",
A2,Introductions,Ist day in job,A,"Hi, how's it going?",
,,,B,"Good thanks, how are you?",
,,,A,I'm great. Is it your first day today?,
,,,B,Yes it is. I am quite nervous. ,
,,,A,"Don't be nervous we were all new once. I'm Claire by the way, it's nice to meet you. ",
,,,B,Nice to meet you too. I'm Lucy. How long have you worked for the company?,
,,,A,Oh a long time. Over 5 years. How are you finding the job so far?,
,,,B,Exhausting but rewarding. ,agotador pero gratificante
,,,A,You will get used to it don't worry.  (phone conversation),
A2,Introductions,Job offer,A,"Good morning, am I speaking to Lucy?",
,,,B,"Hi, yes that's me. ",
,,,A,"Hi Lucy. I'm calling from H&M, following your interview we are delighted to offer you a position. When can you start?",siguiente / posición
,,,B,That's brilliant news! I am busy this weekend but I can start as soon as Monday.,
,,,A,"That's perfect. When you come in to the shop, just ask for me, my name is Tim Brown. Can you please bring your passport so we can get the necessary paperwork done.",papeleo
,,,B,Yes I will do. Thank you so much again. What time should we meet?,
,,,A,How about 10am?,
,,,B,That's perfect. See you then!,
,,,A,Great I will see you Monday at 10 am. Bye now!,
,,,B,Bye-bye!,
A2,Asking and giving directions,Hospital Visit,A,Hi there I'm here too see Mr. Smith. ,
,,,B,"Good morning, I need the full name of the patient and the time he was taken in.",paciente
,,,A,"David Smith, he was admitted yesterday around 9pm.",aceptada(feminine) | aceptado(masculine)
,,,B,We are only accepting close relatives of Mr. Smith for visits at the moment. What is your relation to the patient? ,
,,,A,I'm his wife.,
,,,B,Great Mrs. Smith I just need to see some ID.,
,,,A,Here you go. ,
,,,B,Thank you. His ward is the second door on the left at the end of the corridor. ,pabellón
,,,A,Thank you very much for your help. Have a good day!,
,,,B,"Thanks, you too. ",
B1,Going shopping and asking for prices,Cancel hair appointment,A,"Good morning, how can I help?",
,,,B,"Good morning, I'd like to cancel my appointment please.",
,,,A,When is your appointment?,
,,,B,Today at 4pm.,
,,,A,"We require 24 hours notice to cancel appointments, otherwise there's a cancellation charge of £20.",darse cuenta / cancelación / cargo
,,,B,Why do I have to pay to cancel my appointment?,
,,,A,"Because our salon is very popular and we are often booked in advance and we don't do walk-ins. Next time, please book at time that you can make.",visitas sin cita previa
,,,B,"I have to work last minute and can't make it at 4pm anymore, I can't afford to pay for a haircut that I didn't get.",último minuto
,,,A,"Unfortunately, that's the agreement you made when making the appointment.",
,,,B,"Well, I will not be coming back here again.",
A2,Ordering food and drink,Cocktails,A,Hi there we would like to order 2 cocktails please.,
,,,B,Coming right up. Would you like to start a tab for your table or pay now?,una pestaña
,,,A,Pay now please.,
,,,B,Okay your total is £22.50 please.,
,,,A,I thought cocktails were on a 2 for 1 offer?,2 por 1 oferta
,,,B,That deal is only valid from Monday to Thursday I’m afraid.,válida(feminine) | válido(masculine)
,,,A,"Well it didn't say that anywhere. We will leave it for now, thank you.",
,,,B,I'm sorry to hear that. I hope you have a good night.,
,,,A,"Thanks, you too.",
A1,Ordering food and drink,Cocktails by card payment,A,Hi there we would like to order 2 cocktails please.,
,,,B,Good evening. Would you like to start a tab for your table or pay now?,
,,,A,Start a tab please.,
,,,B,Great I will just need your card details and table number please.,
,,,A,Our table is number 17 and here are my details.,
,,,B,Thank you. Just to let you know we have a 2 for 1 offer on cocktails all night and free refills on soft drinks.,recargas gratis / bebidas sin alcohol
,,,A,Great thanks!,
,,,B,Thank you that is all done. Enjoy your night!,
A1,Making invitations,Disneyland,A,Hi John did you get my letter?,
,,,B,About your son's birthday party next week? ,
,,,A,Yeah that one. ,
,,,B,"Ah, unfortunately we won't be able to come. My wife planned a trip to Disneyland for the whole family and so we're going to be away all week.",
,,,A,A trip to Disneyland? Your kids are lucky. Have fun and take lots of pictures! ,suerte
,,,B,Thanks I will. And sorry again for not being able to come. ,
,,,A,That's okay. Have a good one!,
,,,B,You too. ,
A1,Making invitations,Help with child's birthday party,A,Hi Mary did you get my letter?,
,,,B,Hi! About your son's birthday next week?,
,,,A,Yes that one. ,
,,,B,Of course! Me and the kids would be delighted. What time does it start?,
,,,A,The party starts at 14:00.,
,,,B,Do you need help setting up?,configurando
,,,A,I actually do. It's not easy organising a party for 30 kids. ,
,,,B,I will come over at 12:00 then. ,
,,,A,That would be great.  See you then. ,
,,,B,See you then! ,
A1,Exchaning personal information,Description of town,A,"Hi, my name is Claire.",
,,,B,"Nice to meet you, I'm Robert.",
,,,A,"Nice to meet you too, where are you from?",
,,,B,"I'm from London, how about you?",
,,,A,I'm from Cardigan.,
,,,B,"Oh, where is that? I've never heard of it.",
,,,A,It's a small town in the north of Wales.,
,,,B,What is it like?,
,,,A,It is a town close to the beach. It's also got a lovely river. You should visit sometime.,cerca de la playa
,,,B,I don't like going to the beach because I don't like sand. Is there anything else there to see?,
,,,A,"Hm, there's an ancient castle, they have festivals there in the summertime. There is also a market, a museum and a theatre.",antigua(feminine) | antiguo(masculine) / festivales
,,,B,"That does sound like a nice place, maybe I will visit sometime.",
B1,Going shopping and asking for prices,Purchase of computer,A,"Hi, can I buy this laptop?",
,,,B,"That one is quite popular, let me check if it's in stock.",en stock
,,,A,Thank you.,
,,,B,"I've had a look and we don't have the black or grey in stock, however we do have the pink avaliable.",
,,,A,I was hoping for a more neutral colour.,
,,,B,"Unfortunately this one is very popular, the black is avaliable in another store half an hour away. Would you like me to reserve it for you? ",
,,,A,"No thank you, I have already travelled 40 minutes to come here. Are there any other similar laptops you can recommend to me?",similar / Recomendada (feminine) | Recomendado (masculine)
,,,B,"There is one here in grey, that has more memory and a better processor but it's more expensive.",memoria / procesador
,,,A,It's £50 outside of my price range.,
,,,B,Are you a student? Because we have a student discount and that will make it £40 cheaper.,descuento
,,,A,"That's perfect, can I buy this one?",
,,,B,"Of course, I'll put it behind the till for you.",
,,,A,Thank you very much.,
A1,University life,Study in cafe,A,"Hey, good to see you.",
,,,B,"Hey, how's things?",
,,,A,"Not good, I'm stressed.",
,,,B,What's happening?,
,,,A,I have two assignments on Monday. I can't do them both.,asignaciones
,,,B,"Well, I have the same assignments, let's study together in the library?",
,,,A,"I don't know. I don't like the library, it's too quiet.",
,,,B,"Let's study in a cafe then, we can drink coffee and study. ",
,,,A,"Actually that would be nice, should we go today after class?",
,,,B,"I'm free after class, let's meet at the cafe next door.",al lado
,,,A,"Okay, see you then!",
,,,B,See you later!,
B1,Socialising,Hair cut,A,"Hiya, long time no see!",
,,,B,"Hi, yeah, it's been ages. How are you getting on?",
,,,A,"I've been good, yourself? You look great by the way, did you change your hair?",
,,,B,"Thanks for noticing, I found this excellent new hairdresser.",
,,,A,Where is it?,
,,,B,It's not far from my house? Maybe 20 minutes by bus. It's called Serenity Salon.,
,,,A,"Let me write that down, I might just check it out. How much was it?",
,,,B,I had a cut and blowdry and a full head of colour so it was £200.,golpe a secas
,,,A,£200! That's too expensive.,
,,,B,"Well it is worth to have good colour. Your hair is lovely natural anyway, you don't need an expensive colour.",
,,,A,"Thank you for saying that, but I dye my hair at home on my own. It's about Â£10 at the drugstore.",
,,,B,"I couldn't even tell, it looks amazing. Anyway I've got to run. It was lovely seeing you.",
,,,A,"You as well, bye.",
B1,Weather,Rain in station,A,Hey why weren't you at class this morning?,
,,,B,Hi! Well because of the rain my station was completely flooded. I had to get a replacement bus which was 30 minutes late. ,Inundada(feminine) | Inundado(masculine) / reemplazo / autobús
,,,A,"Tell me about it. It was meant to be sunny, so I didn't bring an umbrella and got completely soaked. ",mojada(feminine) | mojado(masculine)
,,,B,This is why I always carry an umbrella. You never know. ,
,,,A,"Anyway, do you want the notes from the class this morning?",
,,,B,"Yes please, that would be great. ",
,,,A,I will take a picture and send it to you later. I have to run now but it was nice talking you!,
,,,B,Same here. See you later!,
,,,A,Bye. And good luck for your journey home. ,
,,,B,"Thanks, bye!",
A1,Cross-cultural experiences,International Food,A,What is this?,
,,,B,It's tea.,
,,,A,What kind of tea?,
,,,B,"Chai tea. It's made with black tea, milk and spices. Do you like it?",especias
,,,A,"Yes, I like it. I want to make it at home. ",
,,,B,You can buy the spices at the supermarket.,
,,,A,How do I make it?,
,,,B,"First you boil the milk, then you add the teabag and spices.",hervir
,,,A,Can you text it to me so I don't forget.,texto
,,,B,"No problem, I'll do it now.",
,,,A,Thank you.,
A2,Socialising,Succulent,A,Is this plant real?,
,,,B,"Yes, it's real.",
,,,A,What kind of plant is it?,
,,,B,It's a succulent.,suculenta(feminine) | suculento(masculine)
,,,A,What is that?,
,,,B,It's a tropical plant that doesn't need much water but needs a lot of sunlight.,tropical / luz del sol
,,,A,Do you have any other plants?,
,,,B,"Yes I have a lot of other plants, it's my hobby. Do you have a hobby?",
,,,A,I have many hobbies. I like painting the most.,
,,,B,Do you have any pictures? I want to see them.,
,,,A,"Yes, I have them on tiktok. Do you want to see?",
,,,B,Can I follow you? Send me the link.,Enlace
A2,Making invitations,Children at wedding,A,"Hey Bill, did you get my wedding invitation?",boda
,,,B,"I did, yes.",
,,,A,I didn't recieve your RSVP yet.,RSVP
,,,B,"Unfortunately, we won't be able to come, the invitation said that it's adults only but there won't be anyone to look after our daughter.",
,,,A,"So sorry to hear that, hopefully we can all get together another time.",
